Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
612R6rJlv9N3wpljUpT8Ja,"2cCUtGK9sDU2EoElnk0GNB","The System Only Dreams in Total Darkness","Sleep Well Beast","The National",2017-09-08,236746,57,spotify:user:1218573018,2023-11-02T15:11:01Z,"chamber pop,indie folk,indie rock,indietronica,modern rock",0.596,0.912,0,-6.74,0,0.211,0.156,0.794,0.584,0.371,110.014,4
5tOQgKuJEU01GjoHhVFCjn,"2cCUtGK9sDU2EoElnk0GNB","Day I Die","Sleep Well Beast","The National",2017-09-08,271533,51,spotify:user:1218573018,2023-11-02T15:11:01Z,"chamber pop,indie folk,indie rock,indietronica,modern rock",0.432,0.947,2,-5.442,1,0.0943,0.00406,0.737,0.0777,0.386,147.981,4
0fgSfUAnuJzzB8l8MdgRZg,"1moxjboGR7GNWYIMWsRjgG","Delilah","How Big, How Blue, How Beautiful (Deluxe)","Florence + The Machine",2015-06-01,293468,50,spotify:user:1218573018,2023-11-02T15:11:01Z,"baroque pop,electropop,modern rock,uk alternative pop",0.426,0.87,9,-3.821,0,0.0621,0.096,0,0.112,0.414,169.946,4
0YT4F6jT9RjhBFzHBDz2WZ,"4sgTqbA7htxYkRRJBPZIom","Az energiamegmaradás törvénye","Vadak","Thy Catafalque",2021-06-25,410830,16,spotify:user:1218573018,2023-11-02T15:11:01Z,"avant-garde metal,cosmic black metal,hungarian black metal,hungarian metal,sci-fi metal,slavic metal,symphonic death metal",0.549,0.87,4,-9.778,0,0.0406,0.0000879,0.678,0.143,0.188,91.493,4
6QDbGdbJ57Mtkflsg42WV5,"2cnMpRsOVqtPMfq7YiFE6K","Hot for Teacher - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,282746,69,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,4
2TIKWWCf6qAtVP6AGa7e9k,"2cnMpRsOVqtPMfq7YiFE6K","I'll Wait - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,280146,58,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.626,0.852,2,-4.575,0,0.036,0.232,0.00000417,0.501,0.864,115.401,4
7N3PAbqfTjSEU1edb2tY8j,"2cnMpRsOVqtPMfq7YiFE6K","Jump - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,241599,83,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4
6XzfupaB5ikgUMnrFgJBvS,"2cnMpRsOVqtPMfq7YiFE6K","Atomic Punk - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,179613,50,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.416,0.993,6,-6.354,1,0.185,0.0131,0.000633,0.589,0.263,100.364,4
6Acw8q4nBEPLQFNOjb9j4O,"2cnMpRsOVqtPMfq7YiFE6K","On Fire - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,180853,48,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.213,0.96,8,-6.605,1,0.0505,0.00516,0.0376,0.0557,0.657,181.937,4
2TXzXJWWzESQq5glbDtZc9,"2cnMpRsOVqtPMfq7YiFE6K","Ice Cream Man - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,198373,58,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.402,0.759,10,-7.685,0,0.134,0.0698,0,0.193,0.579,88.085,4
0AiUx0SP4HK1DJPwi20cEn,"2cnMpRsOVqtPMfq7YiFE6K","Little Dreamer - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,201760,51,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.382,0.811,11,-6.191,0,0.0361,0.024,0.00000129,0.261,0.733,179.149,4
2fZTVlNbTrOAt05ohKJ3ym,"2cnMpRsOVqtPMfq7YiFE6K","Feel Your Love Tonight - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,220960,51,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.46,0.862,8,-5.225,1,0.0594,0.0661,0,0.188,0.724,135.464,4
6MumccCPd4N6qBVdl0gSeM,"2cnMpRsOVqtPMfq7YiFE6K","Jamie's Cryin' - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,209586,60,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.556,0.931,8,-6.125,1,0.0429,0.097,0.00182,0.231,0.7,128.001,4
2xS1lC45sjj60M1eeRsOUp,"2cnMpRsOVqtPMfq7YiFE6K","I'm the One - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,224600,53,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.31,0.98,1,-5.691,1,0.197,0.0152,0.00000119,0.192,0.237,114.041,4
6fybp4N6eW3bsFAvARxyVe,"2cnMpRsOVqtPMfq7YiFE6K","Ain't Talkin' 'Bout Love - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,227800,71,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,4
0upLyFR8Rr52ZpMp5esQoq,"2cnMpRsOVqtPMfq7YiFE6K","You Really Got Me - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,156146,72,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,4
2tAeN2TKlQLOoSPXtARzBV,"2cnMpRsOVqtPMfq7YiFE6K","Eruption - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,102080,67,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,4
0ial9SvyJt9ksxlxL4sj9b,"2cnMpRsOVqtPMfq7YiFE6K","Take Your Whiskey Home - 2015 Remaster","Women and Children First (Remastered)","Van Halen",1980-03-26,189693,49,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.593,0.785,8,-6.081,0,0.0492,0.0533,0.0000144,0.0777,0.701,100.129,4
55BdGvf5VRe7eWeWv4ZG3B,"2cnMpRsOVqtPMfq7YiFE6K","Could This Be Magic? - 2015 Remaster","Women and Children First (Remastered)","Van Halen",1980-03-26,190826,39,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.644,0.42,5,-13.38,0,0.081,0.743,0,0.337,0.543,120.005,4
3cEqVrc275055NEBSlWYHn,"2cnMpRsOVqtPMfq7YiFE6K","One Foot out the Door - 2015 Remaster","Fair Warning (Remastered)","Van Halen",1981-05-06,120266,37,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.493,0.97,8,-3.948,1,0.149,0.00516,0.00104,0.102,0.215,101.984,4
6fHS0zmDdDKktklfaqojaF,"2cnMpRsOVqtPMfq7YiFE6K","Unchained - 2015 Remaster","Fair Warning (Remastered)","Van Halen",1981-05-06,209205,63,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.528,0.875,1,-5.912,1,0.0436,0.0145,0,0.138,0.479,136.83,4
1eGSgC6ZhJ8D4nrZZ83LyA,"2cnMpRsOVqtPMfq7YiFE6K","Mean Street - 2015 Remaster","Fair Warning (Remastered)","Van Halen",1981-05-06,300490,55,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,hard rock,rock",0.481,0.902,1,-7.43,1,0.0681,0.00585,0.000121,0.0722,0.608,102.315,4
